name@version *;license *;copyrights *;end-of-support;dependencies;language;repository;email;URL
XmlSchema-1.4.5.jar;Apache-2.0;-;-;-;Java;-;-;-
activation-1.0.2.jar;CDDL-1.0;-;-;-;Java;-;-;-
aopalliance-1.0.jar;Public Domain;-;-;-;Java;-;-;-
asm-3.3.jar;BSD;Eric Bruneton;-;-;Java;-;ebruneton<at>free.fr;http://asm.objectweb.org/license.html
asm-commons-3.3.jar;BSD;Eric Bruneton;-;-;Java;-;ebruneton<at>free.fr;http://asm.objectweb.org/license.html
asm-tree-3.3.jar;BSD;Eric Bruneton;-;-;Java;-;ebruneton<at>free.fr;http://asm.objectweb.org/license.html
axis-1.4.jar;Apache-2.0;-;-;-;Java;-;-;-
axis2-saaj-api-1.3.jar;Apache-2.0;-;-;-;Java;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt
cglib-2.2.2.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-beanutils-bean-collections-1.7.0.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-beanutils-core-1.7.0.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-collections-3.2.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-dbcp-1.2.2.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-digester-1.8.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-discovery-0.2.jar;Apache-1.1;"""This product includes software developed by the Apache Software Foundation (http://www.apache.org/).""";-;-;Java;-;-;-
commons-fileupload-1.2.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-httpclient-2.0.2.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-io-1.3.1.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-lang-2.2.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-logging-1.1.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-logging-api-1.1.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-net-2.0.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-net-ftp-2.0.jar;Apache-2.0;Apache Foundation;-;-;Java;-;Apache;https://commons.apache.org/proper/commons-net/
commons-pool-1.5.2.jar;Apache-2.0;-;-;-;Java;-;-;-
csi-apachesoap-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-core-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-ejb-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-ejb-weblogic-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-rmi-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-stadapter-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-tools-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;http://opensource.org/licenses/BSD-3-Clause
cxf-2.2.5.jar;Apache-2.0;-;-;-;Java;-;-;-
